Topic,Count,Name,Representation,Representative_Docs
120,60,120_canada announces_changes_blackrock canada_announces changes,"['canada announces', 'changes', 'blackrock canada', 'announces changes', 'canada', 'invesco canada', 'risk rating', 'invesco', 'changes invesco', 'certain']","['Invesco Canada announces changes to the Invesco QQQ Index ETF', 'BlackRock® Canada Announces Risk Rating Updates', 'BlackRock® Canada Announces Risk Rating Updates for Certain iShares Exchange-Traded Funds']"
121,60,121_surveillance_technology_smarts_nasdaq,"['surveillance', 'technology', 'smarts', 'nasdaq', 'nasdaq launches', 'platform', 'nasdaq deliver', 'nasdaq smarts', 'platform nasdaq', 'launches new']","['Shanghai Futures Exchange Launches New Market Surveillance Platform Powered by Nasdaq’s SMARTS', 'UPDATE -- Energy Producer Statkraft to Integrate Nasdaq’s SMARTS for Trade Surveillance', 'Energy Producer Statkraft to Integrate Nasdaq’s SMARTS for Trade Surveillance']"
122,60,122_beats expectations_expectations_earnings beats_earnings eps,"['beats expectations', 'expectations', 'earnings beats', 'earnings eps', '2024 earnings', 'misses expectations', 'beats', 'expectations year', 'eps', 'quarter 2024']","['__COMPANY__ Third Quarter 2024 Earnings: Beats Expectations', '__COMPANY__ First Quarter 2024 Earnings: Beats Expectations', '__COMPANY__ Second Quarter 2024 Earnings: Beats Expectations']"
123,59,123_2024 best_2023 best_best_stocks buy,"['2024 best', '2023 best', 'best', 'stocks buy', 'buy august', 'buy july', 'august best', '2024', 'buy january', 'best bank']","['The 3 Best Bank Stocks to Buy in August 2024', 'The 3 Best Bank Stocks To Buy In July 2024', 'The 3 Best Bank Stocks to Buy In July 2024']"
124,59,124_outage_unable_customers_customers unable,"['outage', 'unable', 'customers', 'customers unable', 'thousands customers', 'hit outage', 'thousands', 'outage leaves', 'leaves customers', 'faces']","['__COMPANY__ customers ‘still unable to make payments’ as mass bank outage continues', '__COMPANY__ outage leaves customers unable to feed newborn babies', '__COMPANY__ outage leaves customers unable to spend on card']"
125,59,125_vs_bsac_better_vs bsac,"['vs', 'bsac', 'better', 'vs bsac', 'bsac stock', 'better value', 'stock better', 'stock value', 'value investors', 'value']","['BMO vs. BSAC: Which Stock Is the Better Value Option?', 'BSBR vs. BSAC: Which Stock Should Value Investors Buy Now?', 'SUPV vs. BSAC: Which Stock Is the Better Value Option?']"
126,59,126_volumes_volumes nasdaq_statistics nasdaq_statistics,"['volumes', 'volumes nasdaq', 'statistics nasdaq', 'statistics', 'nasdaq january', '2021 volumes', '2023 volumes', '2025 volumes', 'nasdaq february', '2022 volumes']","['Nasdaq July 2023 Volumes', 'Nasdaq January 2022 Volumes', 'Nasdaq January 2023 Volumes']"
127,59,127_bullish bearish_street bullish_bearish_bullish,"['bullish bearish', 'street bullish', 'bearish', 'bullish', 'bearish wall', 'stock wall', 'wall street', 'wall', 'street', 'outlook wall']","['Truist Financial Stock: Is Wall Street Bullish or Bearish?', 'Invesco Stock: Is Wall Street Bullish or Bearish?', '__COMPANY__ Stock: Is Wall Street Bullish or Bearish?']"
128,59,128_buy dip_dip_dip july_stocks buy,"['buy dip', 'dip', 'dip july', 'stocks buy', 'july 2024', 'june 2024', '2024', 'july', 'june', 'edition']","['3 Tech Stocks to Buy on the Dip: July 2024', '3 Value Stocks to Buy on the Dip: July 2024', '3 Bank Stocks to Buy on the Dip: July 2024']"
129,59,129_value option_stock better_better value_option,"['value option', 'stock better', 'better value', 'option', 'vs', 'vs stock', 'better', 'option vs', 'value', 'stock']","['AMG vs. __TICKER__ : Which Stock Is the Better Value Option?', 'IVZ vs. __TICKER__ : Which Stock Is the Better Value Option?', '__TICKER__ vs. __TICKER__ : Which Stock Is the Better Value Option?']"
130,59,130_metrics reveal_grow know_analyst projections_know ahead,"['metrics reveal', 'grow know', 'analyst projections', 'know ahead', 'projections key', 'expected grow', 'expect', 'projections', 'earnings expected', 'week release']","[""__TICKER__ Group __TICKER__ Earnings Expected to Grow: What to Know Ahead of Next Week's Release"", ""__COMPANY__ __TICKER__ Earnings Expected to Grow: What to Know Ahead of Next Week's Release"", ""__TICKER__ __TICKER__ Earnings Expected to Grow: What to Know Ahead of Next Week's Release""]"
131,58,131_leave firm_leave_retire_step,"['leave firm', 'leave', 'retire', 'step', 'head', 'firm goldman', 'blackstone head', 'retire year', 'goldman', 'memos goldman']","['Goldman commodities head Emerson to retire, succeeded by Qin and Jindal-memos', ""UPDATE 1-Blackstone's co-head of hedge fund unit McCormick to leave firm -sources"", ""Blackstone's co-head of hedge fund unit McCormick to leave firm -sources""]"
132,58,132_earnings eps_misses expectations_expectations_eps,"['earnings eps', 'misses expectations', 'expectations', 'eps', 'beats expectations', 'eps misses', 'misses', '2024 earnings', 'eps beats', '2025 earnings']","['Invesco Second Quarter 2025 Earnings: EPS Misses Expectations', 'Intercontinental Exchange Second Quarter 2024 Earnings: EPS Misses Expectations', 'BlackRock First Quarter 2025 Earnings: EPS Misses Expectations']"
133,57,133_adv_group reports_net result_result,"['adv', 'group reports', 'net result', 'result', 'second highest', 'net', 'highest', 'reports second', 'reports', 'million contracts']","['__TICKER__ Group reports second-highest July ADV of 21.9 million contracts', '__TICKER__ Group Reports Second-Highest July ADV of 21.9 Million Contracts', '__TICKER__ Group Reports Second-Highest July ADV on Record']"
134,57,134_investing radar_radar_investing_radar ishares,"['investing radar', 'radar', 'investing', 'radar ishares', 'radar invesco', 'equity etf', 'ishares russell', 'russell', 'cap', 'etf']","['Should Invesco Large Cap Growth ETF (PWB) Be on Your Investing Radar?', 'Should iShares Russell Mid-Cap ETF (IWR) Be on Your Investing Radar?', 'Should iShares Russell Mid-Cap Growth ETF (IWP) Be on Your Investing Radar?']"
135,57,135_report continue_earnings report_continue_continue earnings,"['report continue', 'earnings report', 'continue', 'continue earnings', 'report', 'continue ameriprise', 'continue goldman', 'continue corporation', 'corporation earnings', 'earnings']","['__TICKER__ __TICKER__ Up 5% Since Last Earnings Report: Can It Continue?', '__COMPANY__ __TICKER__ Up 9.2% Since Last Earnings Report: Can It Continue?', '__COMPANY__ __TICKER__ Up 3.5% Since Last Earnings Report: Can It Continue?']"
136,57,136_dividend year_larger_larger dividend_pay larger,"['dividend year', 'larger', 'larger dividend', 'pay larger', 'paying larger', 'receive bigger', 'bigger dividend', 'shareholders receive', 'dividend', 'pay']","['__COMPANY__ ( __TICKER__ ) Will Pay A Larger Dividend Than Last Year At $0.30', '__COMPANY__ ( __TICKER__ ) Will Pay A Larger Dividend Than Last Year At US$0.21', '__COMPANY__ ( __TICKER__ ) Is Paying Out A Larger Dividend Than Last Year']"
137,56,137_mutual funds_mutual_returns_invesco mutual,"['mutual funds', 'mutual', 'returns', 'invesco mutual', 'returns buy', 'templeton mutual', 'grab', 'funds', 'returns grab', 'energy mutual']","['Buy These 3 Invesco Mutual Funds for Scintillating Returns', 'Grab These 3 Invesco Mutual Funds for Scintillating Returns', 'Buy These 3 Invesco Mutual Funds for Steady Returns']"
138,56,138_hire_plans_plans 900_hires commercial,"['hire', 'plans', 'plans 900', 'hires commercial', '150 new', '900 hires', 'branches', 'new branches', 'bankers', 'financial centers']","['RPT-Banks diversity push sees __COMPANY__ recruit associates in U.S. from outside finance', 'UPDATE 1- __COMPANY__ plans 900 hires for commercial banking unit over 3 years', '__COMPANY__ plans 900 hires for commercial banking unit over three years']"
139,56,139_annual meeting_meeting_meeting stockholders_meeting shareholders,"['annual meeting', 'meeting', 'meeting stockholders', 'meeting shareholders', 'announces results', 'stockholders', 'annual', 'stockholders nasdaq', 'nasdaq announces', 'exchange sets']","['Intercontinental Exchange Announces Results from 2021 Annual Meeting of Stockholders', 'Intercontinental Exchange Announces Results from 2023 Annual Meeting of Stockholders', 'Intercontinental Exchange Announces Results from 2022 Annual Meeting of Stockholders']"
140,55,140_annual review_semi annual_semi_published,"['annual review', 'semi annual', 'semi', 'published', 'surveillance published', 'review omx', 'market surveillance', 'report market', 'omx', 'daily upgrade']","['Semi-Annual Review of the OMX Copenhagen 25 Index', 'Semi-Annual Review Of The OMX Copenhagen 25 Index', 'Semi-Annual Review of the OMX COPENHAGEN 25 Index']"
141,55,141_financial advisor_joins_private wealth_advisor,"['financial advisor', 'joins', 'private wealth', 'advisor', 'joins financial', 'joins private', 'york city', 'wealth management', 'wealth', 'city']","['Jin Hu Joins __TICKER__ as a Financial Advisor in New York City', 'Daniel Gray Joins __TICKER__ Private Wealth Management as a Financial Advisor in Los Angeles, CA', 'Financial Advisor Michael Rubenstein Joins __TICKER__ Private Wealth Management']"
142,55,142_markets reports_trading volume_reports trading_volume,"['markets reports', 'trading volume', 'reports trading', 'volume', 'global markets', 'cboe global', 'cboe', '2022 cboe', 'volume cboe', '2021 trading']","['Cboe Global Markets Reports Trading Volume for June 2023', 'Cboe Global Markets Reports Trading Volume for June 2024', 'Cboe Global Markets Reports Trading Volume for May 2022']"
143,55,143_advisor team_team joins_team_advisor,"['advisor team', 'team joins', 'team', 'advisor', 'million advisor', 'joins', 'person advisor', 'billion advisor', 'private wealth', 'joins private']","['Six-person advisor team joins __TICKER__ Private Wealth Management in Indianapolis, IN', '$1.8 Billion Advisor Team Joins __TICKER__ Private Wealth Management in Texas', 'Six-Person Advisor Team Joins __TICKER__ in New York City']"
144,54,144_squire reminds_investors contact_lawsuits filed_action lawsuits,"['squire reminds', 'investors contact', 'lawsuits filed', 'action lawsuits', 'bragar eagel', 'squire', 'eagel', 'bragar', 'encourages investors', 'encourages']","['Bragar Eagel & Squire, P. __TICKER__ . Reminds Investors That Class Action Lawsuits Have Been Filed Against __COMPANY__ , Insperity, and Energy Recovery and Encourages Investors to Contact the Firm', 'Bragar Eagel & Squire, P. __TICKER__ . Reminds Investors That Class Action Lawsuits Have Been Filed Against Carnival Corporation and __COMPANY__ and Encourages Investors to Contact the Firm', 'Bragar Eagel & Squire, P. __TICKER__ . Reminds Investors That Class Action Lawsuits Have Been Filed Against Verrica Pharmaceuticals and __COMPANY__ and Encourages Investors to Contact the Firm']"
145,54,145_ceo larry_fink_blackrock ceo_billions,"['ceo larry', 'fink', 'blackrock ceo', 'billions', 'larry fink', 'larry', 'bet', 'firms', 'billions dollars', 'blackrock']","['BlackRock CEO Larry Fink Calls Himself a ""Major Believer"" in Bitcoin Amid Global Uncertainty', 'BlackRock CEO Larry Fink Says Stakeholder Capitalism Is Good for Business. The Stock Says He’s Right.', ""'The Appeal Is Clear' — Billionaire BlackRock CEO Larry Fink Says New 50/30/20 Portfolio Mix May Replace The 60/40 Standard""]"
146,54,146_turning bookie_broker turning_bookie_scientists,"['turning bookie', 'broker turning', 'bookie', 'scientists', 'answer', 'thinking', 'people', 'turning', 'question', 'chaos']","['Employers are hiding a secret about strict return-to-office mandates—they’re probably bluffing about how many days they want you back', 'Gambling And Investing Collide: Is Your Broker Turning Into Your Bookie?', 'Is Your Broker Turning Into Your Bookie? Robinhood, DraftKings And More Face Off In Prediction Markets Boom']"
147,53,147_swot_swot insight_strategic swot_decoding,"['swot', 'swot insight', 'strategic swot', 'decoding', 'insight decoding', 'case theory', 'theory', 'insight', 'bull case', 'short swot']","['Decoding __COMPANY__ &amp; Co __TICKER__ : A Strategic SWOT Insight', 'Decoding __COMPANY__ Inc __TICKER__ : A Strategic SWOT Insight', 'Decoding __COMPANY__ __TICKER__ : A Strategic SWOT Insight']"
148,53,148_increase quarterly_quarterly dividend_quarterly_increase,"['increase quarterly', 'quarterly dividend', 'quarterly', 'increase', 'share', 'common stock', 'stock dividend', 'common', 'intention increase', 'quarterly common']","['__COMPANY__ Mellon Announces Intention to Increase Quarterly Common Stock Dividend by 9 Percent to $0.37 per Share', '__COMPANY__ Corporation Announces Preliminary Stress Capital Buffer Requirement and the Intention to Increase its Quarterly Common Stock Dividend by 10% to $0.69 per share', '__COMPANY__ Mellon Announces Intention to Increase Quarterly Common Stock Dividend by 10 Percent to $0.34 per Share and Authorization to Repurchase up to $6.0 Billion of Common Stock']"
149,53,149_shoppers_time buy_perfect time_says time,"['shoppers', 'time buy', 'perfect time', 'says time', 'bank investors', 'card', 'big money', 'strategist', 'inflation', 'perfect']","['Well-heeled shoppers shrug off price hikes for Birkenstocks and Bugaboo strollers for now', ""Dimon says Trump tariffs may make 'the soft landing a little bit softer' instead of making the 'ship go down'"", ""Fund giants like Blackstone and Opendoor keep gobbling up homes even as mortgage rates rise — here's how small investors can lock in higher yields than the big money""]"
150,53,150_pay dividend_days left_announced dividend_dividend 51,"['pay dividend', 'days left', 'announced dividend', 'dividend 51', 'dividend', 'days', 'announced', 'pay', 'left', '51']","['__TICKER__ Group ( __TICKER__ ) Will Pay A Dividend Of $1.15', '__COMPANY__ ( __TICKER__ ) Is Due To Pay A Dividend Of US$0.51', '__COMPANY__ ( __TICKER__ ) Will Pay A Dividend Of US$0.51']"
151,53,151_action lawsuit_class action_deadline_action,"['action lawsuit', 'class action', 'deadline', 'action', 'class', 'lawsuit', 'plaintiff deadline', 'plaintiff', 'lead plaintiff', 'alert']","['INVESTOR ALERT: Levi & Korsinsky, LLP Notifies Shareholders of __COMPANY__ AG of Class Action Lawsuit and a Lead Plaintiff Deadline of July 11, 2016 -- __TICKER__', 'SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of __COMPANY__ AG of Class Action Lawsuit and a Lead Plaintiff Deadline of July 11, 2016 – __TICKER__', 'INVESTOR ALERT: Levi & Korsinsky, LLP Reminds Shareholders of __COMPANY__ AG of Class Action Lawsuit and a Lead Plaintiff Deadline of July 11, 2016 – __TICKER__']"
152,53,152_nasdaq welcomes_welcomes_market nasdaq_release nasdaq,"['nasdaq welcomes', 'welcomes', 'market nasdaq', 'release nasdaq', 'photo', 'photo release', 'market photo', 'nasdaq', 'nasdaq stock', 'baltic']","['Photo Release -- Nasdaq Welcomes PayPal Holdings, Inc. to The Nasdaq Stock Market', 'UPDATE: Photo Release -- Nasdaq Welcomes REGENXBIO Inc. to The Nasdaq Stock Market', 'Photo Release -- Nasdaq Welcomes REGENXBIO Inc. to The Nasdaq Stock Market']"
153,52,153_amp voting_shares amp_voting rights_voting,"['amp voting', 'shares amp', 'voting rights', 'voting', 'rights', 'rights 31', '2022 shares', 'rights 30', '2023 shares', '31']","['__COMPANY__ : shares &amp; voting rights as of 31 May 2025', '__COMPANY__ : shares &amp; voting rights as of 31 May 2022', '__COMPANY__ : shares &amp; voting rights as of 31 May 2023']"
154,52,154_clearing rules_clearing_changes clearing_appendix 10,"['clearing rules', 'clearing', 'changes clearing', 'appendix 10', 'appendix', '10 collateral', 'collateral list', 'rules appendix', 'rules', 'collateral']","['no 52/17 Changes to the Clearing Rules - Appendix 10, Collateral List', 'no 14/18 Changes to the Clearing Rules - Appendix 10, Collateral List', 'no 25/17 Changes to the Clearing Rules - Appendix 10, Collateral List']"
155,52,155_better value_stock right_value stock_better,"['better value', 'stock right', 'value stock', 'better', 'value', 'right', 'bns better', 'stock edge', 'right bns', 'stock']","['BSAC or __TICKER__ : Which Is the Better Value Stock Right Now?', '__TICKER__ or BSAC: Which Is the Better Value Stock Right Now?', '__TICKER__ or __TICKER__ : Which Is the Better Value Stock Right Now?']"
156,52,156_funds bullish_bullish_diversified bank_bullish diversified,"['funds bullish', 'bullish', 'diversified bank', 'bullish diversified', 'group hedge', 'hedge funds', 'hedge', 'bullish group', 'diversified', 'stock hedge']","['__COMPANY__ __TICKER__ : Hedge Funds Are Bullish On This Diversified Bank Stock Now', '__COMPANY__ Inc. __TICKER__ : Hedge Funds Are Bullish On This Diversified Bank Stock Now', 'Hedge Funds Never Been This Bullish On __COMPANY__ __TICKER__']"
157,52,157_premarket_rise premarket_fall premarket_fall,"['premarket', 'rise premarket', 'fall premarket', 'fall', 'rise', 'premarket falls', 'johnson', 'falls', 'pfizer fall', 'energy fall']","['__COMPANY__ , Boeing and Ford Rise Premarket; __COMPANY__ Falls', 'Apple, American Airlines Rise Premarket; __COMPANY__ Falls', '__COMPANY__ , PepsiCo Rise Premarket; __COMPANY__ Falls']"
158,52,158_prospering_exciting potential_prospering industry_exciting,"['prospering', 'exciting potential', 'prospering industry', 'exciting', 'stock exciting', 'foreign bank', 'stocks huge', 'foreign', 'profitable stock', 'banks industry']","['1 Profitable Stock with Exciting Potential and 2 We Ignore', '3 Foreign Bank Stocks to Consider in a Prospering Industry', '3 Foreign Bank Stocks Worth a Look in a Prospering Industry']"
159,51,159_nasdaq halts_halts_corp nasdaq_halt status,"['nasdaq halts', 'halts', 'corp nasdaq', 'halt status', 'updates trading', 'nasdaq updates', 'trading halt', 'halt', 'status', 'holdings nasdaq']","['Nasdaq Halts root9B Holdings, Inc.', 'Nasdaq Halts Relativity Acquisition Corp.', 'Nasdaq Halts DryShips Inc.']"
160,51,160_review ratings_periodic review_completion periodic_moody announces,"['review ratings', 'periodic review', 'completion periodic', 'moody announces', 'periodic', 'announces completion', 'completion', 'ratings', 'review', 'moody']","[""__COMPANY__ Holdings (U.S.A.), Inc. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ Bank (The)"", ""__COMPANY__ Trust Company, N.A. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ Corporation (The)"", ""__COMPANY__ Bank, Ltd. -- Moody's announces completion of a periodic review of ratings of __COMPANY__ , Inc.""]"
161,51,161_earnings ib_hurt_aid_ib,"['earnings ib', 'hurt', 'aid', 'ib', 'ib hurt', 'trading aid', 'aid q1', 'hurt trading', 'rates aid', 'trading hurt']","[""Trading to Aid __COMPANY__ 's __TICKER__ Q4 Earnings, IB to Hurt"", 'Rates, Trading to Aid __COMPANY__ __TICKER__ Q1 Earnings, IB to Hurt', 'Trading to Aid __COMPANY__ __TICKER__ Q1 Earnings, IB to Hurt']"
162,51,162_fiduciary trust_fiduciary_trust international_trust,"['fiduciary trust', 'fiduciary', 'trust international', 'trust', 'joins fiduciary', 'international', 'director', 'international welcomes', 'managing director', 'trust counsel']","['Fiduciary Trust International Welcomes New Senior Relationship Manager in New York Office', 'Fiduciary Trust International Welcomes New Wealth Director in Atlanta', 'Arturo Giacosa Joins Fiduciary Trust Company International as Managing Director and Trust Counsel']"
163,51,163_earnings cards_store_cards_report q3,"['earnings cards', 'store', 'cards', 'report q3', 'earnings store', 'set report', 'gears report', 'q3 earnings', 'report q1', 'report']","[""Franklin Gears Up to Report Q3 Earnings: What's in Store?"", ""Nasdaq Gears Up to Report Q3 Earnings: What's in the Cards?"", ""Blackstone Set to Report Q3 Earnings: What's in the Cards?""]"
164,51,164_stocks buy_buy window_window closes_millionaire maker,"['stocks buy', 'buy window', 'window closes', 'millionaire maker', 'closes millionaire', 'window', 'buy', 'buy heading', 'fintech stocks', 'millionaire']","['3 Millionaire-Maker Battery Stocks to Buy Before the Window Closes', '7 Millionaire-Maker Solar Stocks to Buy Before the Window Closes', '3 Millionaire-Maker AI Stocks to Buy Before the Window Closes']"
165,51,165_today stories_stories_today_elon musk,"['today stories', 'stories', 'today', 'elon musk', 'elon', 'stories meta', 'chatgpt', 'musk', 'breach', 'meta threads']","[""Did Elon Musk Admit 90% Decline In Twitter's Value Since Acquisition?, Apple's Zero-Click Vulnerabilities Uncovered By Internet Watchdog Group, Gas Prices Jump As Strikes Start At Major Chevron Australia LNG Projects: Today's Top Stories"", ""Tesla Recalls Over 17K EVs Over Camera &amp; Seat Belt Issues, University Research Uncovers Unexpected Fluctuations In ChatGPT Capabilities, Juul Seeks FDA Nod For Next-Generation Vaporizer: Today's Top Stories"", ""Meta's Threads Prepares To Counter Elon Musk's X, Tesla Data Breach Affects Over 75K People, Medical Properties Trust's Prospect Medical Deal On Hold: Today's Top Stories""]"
166,51,166_sector update_update financial_afternoon_afternoon sector,"['sector update', 'update financial', 'afternoon', 'afternoon sector', 'financial stocks', 'sector', 'stocks advance', 'late afternoon', 'update', 'stocks edge']","['Sector Update: Financial Stocks Advance Late Afternoon', 'Sector Update: Financial Stocks Rise in Late Afternoon Trading', 'Sector Update: Financial Stocks Rise Late Afternoon']"
167,50,167_resources announce_announce_announce quarter_invesco announce,"['resources announce', 'announce', 'announce quarter', 'invesco announce', 'results franklin', 'quarter results', 'franklin resources', 'announce second', 'resources', 'results']","['Franklin Resources, Inc. to Announce Second Quarter Results on May 2, 2025', 'Franklin Resources, Inc. to Announce Second Quarter Results on May 3, 2022', 'Franklin Resources, Inc. to Announce Second Quarter Results on May 4, 2021']"
168,50,168_prime_prime rate_increases prime_lending rate,"['prime', 'prime rate', 'increases prime', 'lending rate', 'prime lending', 'rate 00', 'bank increases', 'increases', 'percent', 'rate 50']","['__COMPANY__ Bank Increases Prime Rate to 4.00 Percent', '__COMPANY__ Bank Increases Prime Rate to 7.00 Percent', '__COMPANY__ Bank Increases Prime Rate to 8.00 Percent']"
169,50,169_dividend stocks_stocks yield_yield_yielding,"['dividend stocks', 'stocks yield', 'yield', 'yielding', 'dividend', 'tsx', 'yield 10', 'stocks yielding', 'tsx dividend', 'stocks yields']","['10 Dividend Stocks with Over 7% Yield', '10 Dividend Stocks with Over 9% Yield', '3 TSX Dividend Stocks With Up To 5.4% Yield']"
170,50,170_earnings beat_beat_beat higher_fee income,"['earnings beat', 'beat', 'beat higher', 'fee income', 'revenues', 'volume increases', 'increases year', 'higher fee', 'volume', 'group q2']","[""__COMPANY__ 's __TICKER__ Q2 Earnings Beat on Higher Fee Income"", '__COMPANY__ __TICKER__ Q1 Earnings Beat on Higher Fee Income', ""__COMPANY__ 's __TICKER__ Q4 Earnings Beat on Higher Fee Income""]"
171,49,171_korsinsky llp_korsinsky_llp reminds_action update,"['korsinsky llp', 'korsinsky', 'llp reminds', 'action update', 'levi korsinsky', 'class', 'levi', 'class actions', 'shareholders class', 'actions']","['CLASS ACTION UPDATE for __TICKER__ , XRAY, NVDA and AGN: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders', 'CLASS ACTION UPDATE for __TICKER__ and XRAY: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders', 'CLASS ACTION UPDATE for __TICKER__ , XRAY and AGN: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders']"
172,49,172_delisting securities_market delisting_delisting_warrant,"['delisting securities', 'market delisting', 'delisting', 'warrant', 'securities', 'holdings warrant', 'holdings', 'nasdaq stock', 'warrant nasdaq', 'stock market']","['Delisting of Securities of Organogenesis Holdings Inc. Warrant, Reebonz Holding Limited Warrant, Real Goods Solar, Inc., ReShape Lifesciences Inc., Super Micro Computer, Inc., and Yulong Eco-Materials Limited from The Nasdaq Stock Market', 'Delisting of Securities of Intellipharmaceutics International Inc., Aceto Corporation, and GTY Technology Holdings Inc. (Warrant only) from The Nasdaq Stock Market', 'Delisting of Securities of Altus Midstream Company Warrant, MiMedx Group, Inc., Waitr Holdings Inc. Warrant, Eco-Stim Energy Solutions, Inc., and Concrete Pumping Holdings, Inc. Warrant from The Nasdaq Stock Market']"
173,48,173_beat likely_beat store_surprise coming_beat,"['beat likely', 'beat store', 'surprise coming', 'beat', 'earnings beat', 'beat offing', 'store', 'offing', 'season beat', 'likely']","['Why is an Earnings Beat Less Likely for __COMPANY__ Mellon __TICKER__ in Q1?', 'Why is Q2 Earnings Beat Less Likely for Ameriprise __TICKER__ ?', 'Why is an Earnings Beat Less Likely for __COMPANY__ Mellon __TICKER__ in Q2?']"
174,48,174_mutual funds_mutual_returns mutual_returns,"['mutual funds', 'mutual', 'returns mutual', 'returns', 'ranked mutual', 'funds', 'mellon mutual', 'ranked', 'portfolio mutual', 'buy mutual']","['3 Top-Ranked __COMPANY__ Mutual Funds for Impressive Returns', '3 Top-Ranked __COMPANY__ Mutual Funds for Stellar Returns', '3 __COMPANY__ Mellon Mutual Funds for Steady Returns']"
175,48,175_beat earnings_earnings estimates_poised beat_beat streak,"['beat earnings', 'earnings estimates', 'poised beat', 'beat streak', 'beat', 'retain beat', 'estimates', 'estimates buy', 'poised', 'streak']","['Why The __COMPANY__ __TICKER__ is Poised to Beat Earnings Estimates Again', 'Why __COMPANY__ __TICKER__ is Poised to Beat Earnings Estimates Again', 'Why __TICKER__ __TICKER__ is Poised to Beat Earnings Estimates Again']"
176,48,176_index beginning_join nasdaq_100 index_nasdaq 100,"['index beginning', 'join nasdaq', '100 index', 'nasdaq 100', 'beginning', 'join', 'index', '100', 'beginning july', 'beginning june']","['Shopify Inc to Join the Nasdaq-100 Index® Beginning May 19, 2025', 'Moderna, Inc. to Join the NASDAQ-100 Index Beginning July 20, 2020', 'Incyte Corporation to Join the NASDAQ-100 Index Beginning October 7, 2015']"
177,48,177_hurt_performance hurt_weak_hurt q2,"['hurt', 'performance hurt', 'weak', 'hurt q2', 'trading performance', 'weak trading', 'earnings weak', 'banking hurt', 'hurt q4', 'performance']","[""Weaker Trading Performance to Hurt __COMPANY__ 's __TICKER__ Q2 Earnings"", ""Dismal Trading Performance to Hurt __COMPANY__ 's __TICKER__ Q2 Earnings"", 'Weak Trading Performance to Hurt __COMPANY__ __TICKER__ Q3 Earnings']"
178,47,178_million contracts_average daily_international average_contracts,"['million contracts', 'average daily', 'international average', 'contracts', 'daily volume', 'year year', 'net result', 'result', 'group international', 'million strong']","['__TICKER__ Group International Average Daily Volume Reached 6.3 Million Contracts in Q2 2022, Up 21% from Q2 2021', '__TICKER__ Group International Average Daily Volume Hits Record 8.8 Million Contracts in Q1 2025, Up 19% Year over Year', '__TICKER__ Group International Average Daily Volume Hits Record 9.2 Million Contracts in Q2 2025, Up 18% Year over Year']"
179,47,179_stocks watch_watch_watch week_watch tuesday,"['stocks watch', 'watch', 'watch week', 'watch tuesday', 'watch thursday', 'watch monday', 'watch friday', 'tuesday', 'thursday', 'unilever stocks']","['Stocks to watch next week: Tesla, Netflix, Intel, Lloyds and Unilever', 'Stocks to Watch Tuesday: RTX, Verizon, Coca-Cola, Coinbase', 'Stocks to Watch Tuesday: Alphabet, Microsoft, Coca-Cola, Coinbase']"
180,47,180_moving today_stocks moving_moving_moved today,"['moving today', 'stocks moving', 'moving', 'moved today', 'stocks moved', 'moved', 'today', 'today nvidia', 'today asml', 'asml']","['These Stocks Are Moving the Most Today: Credit Suisse, __TICKER__ , First Republic, and More', 'These Stocks Are Moving the Most Today: __COMPANY__ , __COMPANY__ , J&amp;J, Netflix, and More', 'These Stocks Are Moving the Most Today: __COMPANY__ , __COMPANY__ , __COMPANY__ , Tesla, Apple, and More']"
181,47,181_stock value_value investors_investors buy_vs,"['stock value', 'value investors', 'investors buy', 'vs', 'vs stock', 'buy vs', 'value', 'investors', 'buy', 'dnbby']","['PFG vs. __TICKER__ : Which Stock Should Value Investors Buy Now?', 'AMG vs. __TICKER__ : Which Stock Should Value Investors Buy Now?', 'IVZ vs. __TICKER__ : Which Stock Should Value Investors Buy Now?']"
182,47,182_custom_canvas_indexing platform_custom indexing,"['custom', 'canvas', 'indexing platform', 'custom indexing', 'southwest', 'platform', 'indexing', 'rapid rewards', 'canvas custom', 'southwest rapid']","[""Franklin's Arm to Offer Canvas Custom Indexing Platform With New Pact"", 'Franklin Templeton Expands Partnership with Janney to Deliver Canvas Custom Indexing Platform', 'Franklin Templeton Expands Partnership with Envestnet to Deliver Canvas Custom Indexing Platform']"
183,46,183_institutional backing_strong institutional_boasts strong_boasts,"['institutional backing', 'strong institutional', 'boasts strong', 'boasts', 'backing', 'ownership', 'institutional', 'strong', 'ownership group', 'group boasts']","['With 60% ownership, __COMPANY__ Corporation ( __TICKER__ ) boasts of strong institutional backing', 'With 72% ownership, The __COMPANY__ Group, Inc. ( __TICKER__ ) boasts of strong institutional backing', 'With 88% ownership, __TICKER__ Group Inc. ( __TICKER__ ) boasts of strong institutional backing']"
